site_x,location_id,X,Y,site_y,sample_depth_min,sample_depth_max,SOCc,BD
IL-BR,501-1,-90.19070581290642,39.05514698839897,IL-BR,0,10.0,1.35,0.79
IL-BR,501-1,-90.19070581290642,39.05514698839897,IL-BR,10,20.0,0.73,1.18
IL-BR,501-1,-90.19070581290642,39.05514698839897,IL-BR,20,30.0,0.36,1.21
IL-BR,501-1,-90.19070581290642,39.05514698839897,IL-BR,30,60.0,0.32,1.13
IL-BR,501-1,-90.19070581290642,39.05514698839897,IL-BR,60,90.0,0.25,1.23
IL-BR,501-2,-90.19028160883184,39.05515167084452,IL-BR,0,10.0,1.14,1.0
IL-BR,501-2,-90.19028160883184,39.05515167084452,IL-BR,10,20.0,0.74,0.95
IL-BR,501-2,-90.19028160883184,39.05515167084452,IL-BR,20,30.0,0.53,1.15
IL-BR,501-2,-90.19028160883184,39.05515167084452,IL-BR,30,60.0,0.25,1.18
IL-BR,501-2,-90.19028160883184,39.05515167084452,IL-BR,60,90.0,0.23,1.17
IL-BR,501-3,-90.18985740467892,39.05515635174003,IL-BR,0,10.0,1.09,1.0
IL-BR,501-3,-90.18985740467892,39.05515635174003,IL-BR,10,20.0,0.65,1.01
IL-BR,501-3,-90.18985740467892,39.05515635174003,IL-BR,20,30.0,0.37,1.01
IL-BR,501-3,-90.18985740467892,39.05515635174003,IL-BR,30,60.0,0.23,1.12
IL-BR,501-3,-90.18985740467892,39.05515635174003,IL-BR,60,90.0,0.19,1.19
IL-BR,502-1,-90.18918349120985,39.05536958535681,IL-BR,0,10.0,1.26,0.96
IL-BR,502-1,-90.18918349120985,39.05536958535681,IL-BR,10,20.0,0.61,1.12
IL-BR,502-1,-90.18918349120985,39.05536958535681,IL-BR,20,30.0,0.4,1.26
IL-BR,502-1,-90.18918349120985,39.05536958535681,IL-BR,30,60.0,0.33,1.2
IL-BR,502-1,-90.18918349120985,39.05536958535681,IL-BR,60,90.0,0.26,1.2
IL-BR,502-2,-90.1889339824354,39.05538134014544,IL-BR,0,10.0,1.2,1.08
IL-BR,502-2,-90.1889339824354,39.05538134014544,IL-BR,10,20.0,0.58,1.14
IL-BR,502-2,-90.1889339824354,39.05538134014544,IL-BR,20,30.0,0.45,1.27
IL-BR,502-2,-90.1889339824354,39.05538134014544,IL-BR,30,60.0,0.28,1.21
IL-BR,502-2,-90.1889339824354,39.05538134014544,IL-BR,60,90.0,0.28,1.2
IL-BR,502-3,-90.18868447360664,39.055393094486455,IL-BR,0,10.0,0.72,1.12
IL-BR,502-3,-90.18868447360664,39.055393094486455,IL-BR,10,20.0,0.92,0.87
IL-BR,502-3,-90.18868447360664,39.055393094486455,IL-BR,20,30.0,0.25,1.14
IL-BR,502-3,-90.18868447360664,39.055393094486455,IL-BR,30,60.0,0.25,1.09
IL-BR,502-3,-90.18868447360664,39.055393094486455,IL-BR,60,90.0,0.17,0.91
IL-BR,503-1,-90.18918265875178,39.054986737018105,IL-BR,0,10.0,1.36,0.87
IL-BR,503-1,-90.18918265875178,39.054986737018105,IL-BR,10,20.0,0.59,0.99
IL-BR,503-1,-90.18918265875178,39.054986737018105,IL-BR,20,30.0,0.41,1.2
IL-BR,503-1,-90.18918265875178,39.054986737018105,IL-BR,30,60.0,0.33,1.17
IL-BR,503-1,-90.18918265875178,39.054986737018105,IL-BR,60,90.0,0.25,1.17
IL-BR,503-2,-90.18893382743131,39.05498992356214,IL-BR,0,10.0,1.19,0.9
IL-BR,503-2,-90.18893382743131,39.05498992356214,IL-BR,10,20.0,0.62,0.97
IL-BR,503-2,-90.18893382743131,39.05498992356214,IL-BR,20,30.0,0.53,1.17
IL-BR,503-2,-90.18893382743131,39.05498992356214,IL-BR,30,60.0,0.23,1.18
IL-BR,503-2,-90.18893382743131,39.05498992356214,IL-BR,60,90.0,0.19,1.17
IL-BR,503-3,-90.18868499623602,39.05499310957647,IL-BR,0,10.0,1.6,0.77
IL-BR,503-3,-90.18868499623602,39.05499310957647,IL-BR,10,20.0,0.5,1.09
IL-BR,503-3,-90.18868499623602,39.05499310957647,IL-BR,20,30.0,0.25,1.13
IL-BR,503-3,-90.18868499623602,39.05499310957647,IL-BR,30,60.0,0.27,1.19
IL-BR,503-3,-90.18868499623602,39.05499310957647,IL-BR,60,90.0,0.25,1.19
IL-BR,504-1,-90.18918640154097,39.05460720775572,IL-BR,0,10.0,1.44,0.81
IL-BR,504-1,-90.18918640154097,39.05460720775572,IL-BR,10,20.0,0.69,1.08
IL-BR,504-1,-90.18918640154097,39.05460720775572,IL-BR,20,30.0,0.38,1.14
IL-BR,504-1,-90.18918640154097,39.05460720775572,IL-BR,30,60.0,0.27,1.18
IL-BR,504-1,-90.18918640154097,39.05460720775572,IL-BR,60,90.0,0.32,1.93
IL-BR,504-2,-90.18893616407564,39.0546105291448,IL-BR,0,10.0,1.65,0.87
IL-BR,504-2,-90.18893616407564,39.0546105291448,IL-BR,10,20.0,0.92,1.07
IL-BR,504-2,-90.18893616407564,39.0546105291448,IL-BR,20,30.0,0.55,1.18
IL-BR,504-2,-90.18893616407564,39.0546105291448,IL-BR,30,60.0,0.3,1.24
IL-BR,504-2,-90.18893616407564,39.0546105291448,IL-BR,60,90.0,0.24,1.24
IL-BR,504-3,-90.18868592650745,39.054613849902566,IL-BR,0,10.0,0.97,0.89
IL-BR,504-3,-90.18868592650745,39.054613849902566,IL-BR,10,20.0,0.44,0.96
IL-BR,504-3,-90.18868592650745,39.054613849902566,IL-BR,20,30.0,0.3,1.08
